05.01.2020-20:59:51: Running script backup version 1.3
05.01.2020-20:59:51: Starting backup of C:\OrdnerStruc to C:\Backups\OrdnerStruc-01_05_2020_20_59_51
05.01.2020-20:59:51: 12 Directories in C:\OrdnerStruc
05.01.2020-20:59:51: 180 Files in C:\OrdnerStruc
05.01.2020-20:59:51: Created directory User Drei
05.01.2020-20:59:51: Created directory Ordner Drei
05.01.2020-20:59:51: Copied 0.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Drei\Ordner Drei
05.01.2020-20:59:51: Copied 1.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Drei\Ordner Drei
05.01.2020-20:59:51: Copied 10.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Drei\Ordner Drei
05.01.2020-20:59:51: Copied 11.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Drei\Ordner Drei
05.01.2020-20:59:52: Copied 12.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Drei\Ordner Drei
05.01.2020-20:59:52: Copied 13.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Drei\Ordner Drei
05.01.2020-20:59:52: Copied 14.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Drei\Ordner Drei
05.01.2020-20:59:52: Copied 15.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Drei\Ordner Drei
05.01.2020-20:59:52: Copied 16.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Drei\Ordner Drei
05.01.2020-20:59:52: Copied 17.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Drei\Ordner Drei
05.01.2020-20:59:52: Copied 18.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Drei\Ordner Drei
05.01.2020-20:59:52: Copied 19.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Drei\Ordner Drei
05.01.2020-20:59:52: Copied 2.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Drei\Ordner Drei
05.01.2020-20:59:52: Copied 3.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Drei\Ordner Drei
05.01.2020-20:59:52: Copied 4.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Drei\Ordner Drei
05.01.2020-20:59:52: Copied 5.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Drei\Ordner Drei
05.01.2020-20:59:52: Copied 6.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Drei\Ordner Drei
05.01.2020-20:59:52: Copied 7.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Drei\Ordner Drei
05.01.2020-20:59:52: Copied 8.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Drei\Ordner Drei
05.01.2020-20:59:52: Copied 9.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Drei\Ordner Drei
05.01.2020-20:59:52: Created directory Ordner Eins
05.01.2020-20:59:52: Copied 0.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Drei\Ordner Eins
05.01.2020-20:59:52: Copied 1.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Drei\Ordner Eins
05.01.2020-20:59:52: Copied 10.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Drei\Ordner Eins
05.01.2020-20:59:53: Copied 11.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Drei\Ordner Eins
05.01.2020-20:59:53: Copied 12.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Drei\Ordner Eins
05.01.2020-20:59:53: Copied 13.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Drei\Ordner Eins
05.01.2020-20:59:53: Copied 14.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Drei\Ordner Eins
05.01.2020-20:59:53: Copied 15.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Drei\Ordner Eins
05.01.2020-20:59:53: Copied 16.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Drei\Ordner Eins
05.01.2020-20:59:53: Copied 17.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Drei\Ordner Eins
05.01.2020-20:59:53: Copied 18.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Drei\Ordner Eins
05.01.2020-20:59:53: Copied 19.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Drei\Ordner Eins
05.01.2020-20:59:53: Copied 2.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Drei\Ordner Eins
05.01.2020-20:59:53: Copied 3.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Drei\Ordner Eins
